电影名称,总票房,类型
我的新野蛮女友,3419,爱情
勇士,3322,战争
夜孔雀,3318,爱情
大唐玄奘,3304,剧情
恶人报喜,2754,喜剧
一切都好,2623,喜剧
精灵王座,2511,动画
整形师·脸,2375,惊悚
疯狂丑小鸭,2341,动画
勇士之门,2284,动作
冒牌卧底,2231,喜剧
阿里巴巴2所罗门封印,2204,动画
妄想症,2096,惊悚
一句顶一万句,2090,剧情
超能太阳鸭,2008,动画
麦兜·饭宝奇兵,1896,动画
铠甲勇士捕王,1859,动画
谎言西西里,1807,爱情
爱情麻辣烫之情定终身,1735,爱情
少年,1591,剧情
你好，疯子！,1569,喜剧
宝贝当家,1527,喜剧
谋杀似水年华,1350,爱情
青蛙总动员,1256,动画
我叫哀木涕之山口山战记,1216,动画
诡梦凶铃,1177,惊悚
再见，在也不见,1148,爱情
小明和他的小伙伴们,1125,喜剧
老阿姨,1113,剧情
在世界中心呼唤爱,1106,爱情
发条城市,1105,喜剧
筷仙,1083,惊悚
摩尔庄园3：魔幻列车大冒险,1064,动画
大火种,1045,剧情
国酒,1021,剧情
我是哪吒,995,动画
纽约纽约,955,爱情
钢刀,940,战争
床下有人3,929,惊悚
开罗宣言,902,战争
洛杉矶捣蛋计划,898,喜剧
情况不妙,887,喜剧
妖医,876,悬疑
判我有罪,866,剧情
果宝特攻之水果大逃亡,835,动画
刺猬小子之天生我刺,823,动画
泡沫之夏,815,爱情
致我们终将到来的爱情,805,爱情
育婴室,805,惊悚
魔轮,784,惊悚
蜜月酒店杀人事件,762,惊悚
黑处有什么,761,剧情
泰迪熊之玩具大战,753,动画
马小乐之玩具也疯狂,742,动画
笔仙诡影,734,惊悚
非常父子档,723,爱情
神兽金刚之青龙再现,722,动画
七月半2：前世今生,709,惊悚
六弄咖啡馆,655,爱情
路边野餐,648,剧情
我在故宫修文物,647,纪录片
毛丰美,632,传记
斗龙战士之星印罗盘,620,动画
最萌身高差,619,爱情
恐怖将映,607,爱情
猫脸老太太,586,惊悚
贫穷富爸爸,586,喜剧
箭士柳白猿,559,古装
超级保镖,552,动作
死亡游戏,552,惊悚
诡娃,526,惊悚
笔仙撞碟仙,523,惊悚
当流星划过天际,516,爱情
恶灵之门,514,惊悚
糖果世界大冒险,506,动画
龙拳小子,496,动作
终极硬汉,492,动作
幽灵医院,485,惊悚
我是处女座,468,爱情
聊斋新编之画皮新娘,453,惊悚
呆呆计划,449,喜剧
张震讲故事之合租屋,443,惊悚
青蛙王国之冰冻大冒险,434,动画
丑小鸭历险记,432,动画
魔都凶音,415,惊悚
诡新娘,400,爱情
荒村怨灵,396,惊悚
水果宝贝之水果总动员,393,动画
不速之客,392,犯罪
恐怖禁忌之红旗袍,387,惊悚
死亡笔记,369,惊悚
古曼,363,惊悚
记忆碎片,361,悬疑
荒村凶间,343,惊悚
长江图,327,爱情
我们毕业啦,292,爱情
恭喜发财之谈钱说爱,277,爱情
我不是王毛,269,喜剧
恐怖笔记,261,惊悚
夺路而逃,250,喜剧
功夫四侠,247,动画
花样厨神,242,剧情
遵义会议,239,战争
一家老小向前冲,238,喜剧
催命符,237,惊悚
半熟少女,233,爱情
夜半哭声,229,惊悚
超级幼儿园,227,动画
失眠男女,224,爱情
枕边有张脸2,218,惊悚
夏威夷之恋,216,爱情
怨灵地下室,209,惊悚
白云桥,198,惊悚
舌尖上的新年,195,纪录片
五女闹京城,195,爱情
近在咫尺的爱恋,194,爱情
凄灵室,186,惊悚
白雪公主和三只小猪,177,动画
南口1937,169,战争
生门,160,纪录片
轩辕大帝,152,剧情
动植物大战,145,动画
恐怖照相机,134,惊悚
同城邂逅,121,爱情
恋爱教父之三个“坏”家伙,114,爱情
爱在深秋,113,爱情
小蚂蚁之环球大冒险,111,动画
终极胜利,106,剧情
隔壁惊魂,105,惊悚
